filterType,filterOpt,splitByOpt,splitByOpt_category,responseOpt
National,National,"","",Median total revenue
National,National,Size,"< $100,000",Median total revenue
National,National,Size,"$100,000 - $499,999",Median total revenue
National,National,Size,"$500,000 - $999,999",Median total revenue
National,National,Size,"$1 million - $9,999,999",Median total revenue
National,National,Size,$10 million and above,Median total revenue
National,National,Sector,"Arts, culture, and humanities",Median total revenue
National,National,Sector,Education,Median total revenue
National,National,Sector,Environment and animals,Median total revenue
National,National,Sector,Health,Median total revenue
National,National,Sector,Human services,Median total revenue
National,National,Sector,"International, foreign affairs",Median total revenue
National,National,Sector,"Public, societal benefit",Median total revenue
National,National,Rural/Urban,Rural,Median total revenue
National,National,Rural/Urban,Urban,Median total revenue
National,National,Region,Northeast,Median total revenue
National,National,Region,Midwest,Median total revenue
National,National,Region,South,Median total revenue
National,National,Region,West,Median total revenue
National,National,State,AL,Median total revenue
National,National,State,AK,Median total revenue
National,National,State,AZ,Median total revenue
National,National,State,AR,Median total revenue
National,National,State,CA,Median total revenue
National,National,State,CO,Median total revenue
National,National,State,CT,Median total revenue
National,National,State,DC,Median total revenue
National,National,State,DE,Median total revenue
National,National,State,FL,Median total revenue
National,National,State,GA,Median total revenue
National,National,State,HI,Median total revenue
National,National,State,ID,Median total revenue
National,National,State,IL,Median total revenue
National,National,State,IN,Median total revenue
National,National,State,IA,Median total revenue
National,National,State,KS,Median total revenue
National,National,State,KY,Median total revenue
National,National,State,LA,Median total revenue
National,National,State,ME,Median total revenue
National,National,State,MD,Median total revenue
National,National,State,MA,Median total revenue
National,National,State,MI,Median total revenue
National,National,State,MN,Median total revenue
National,National,State,MS,Median total revenue
National,National,State,MO,Median total revenue
National,National,State,MT,Median total revenue
National,National,State,NE,Median total revenue
National,National,State,NV,Median total revenue
National,National,State,NH,Median total revenue
National,National,State,NJ,Median total revenue
National,National,State,NM,Median total revenue
National,National,State,NY,Median total revenue
National,National,State,NC,Median total revenue
National,National,State,ND,Median total revenue
National,National,State,OH,Median total revenue
National,National,State,OK,Median total revenue
National,National,State,OR,Median total revenue
National,National,State,PA,Median total revenue
National,National,State,RI,Median total revenue
National,National,State,SC,Median total revenue
National,National,State,SD,Median total revenue
National,National,State,TN,Median total revenue
National,National,State,TX,Median total revenue
National,National,State,UT,Median total revenue
National,National,State,VT,Median total revenue
National,National,State,VA,Median total revenue
National,National,State,WA,Median total revenue
National,National,State,WV,Median total revenue
National,National,State,WI,Median total revenue
National,National,State,WY,Median total revenue
Region,Northeast,"","",Median total revenue
Region,Northeast,Size,"< $100,000",Median total revenue
Region,Northeast,Size,"$100,000 - $499,999",Median total revenue
Region,Northeast,Size,"$500,000 - $999,999",Median total revenue
Region,Northeast,Size,"$1 million - $9,999,999",Median total revenue
Region,Northeast,Size,$10 million and above,Median total revenue
Region,Northeast,Sector,"Arts, culture, and humanities",Median total revenue
Region,Northeast,Sector,Education,Median total revenue
Region,Northeast,Sector,Environment and animals,Median total revenue
Region,Northeast,Sector,Health,Median total revenue
Region,Northeast,Sector,Human services,Median total revenue
Region,Northeast,Sector,"International, foreign affairs",Median total revenue
Region,Northeast,Sector,"Public, societal benefit",Median total revenue
Region,Northeast,Rural/Urban,Rural,Median total revenue
Region,Northeast,Rural/Urban,Urban,Median total revenue
Region,Northeast,State,CT,Median total revenue
Region,Northeast,State,ME,Median total revenue
Region,Northeast,State,MA,Median total revenue
Region,Northeast,State,NH,Median total revenue
Region,Northeast,State,NJ,Median total revenue
Region,Northeast,State,NY,Median total revenue
Region,Northeast,State,PA,Median total revenue
Region,Northeast,State,RI,Median total revenue
Region,Northeast,State,VT,Median total revenue
Region,Midwest,"","",Median total revenue
Region,Midwest,Size,"< $100,000",Median total revenue
Region,Midwest,Size,"$100,000 - $499,999",Median total revenue
Region,Midwest,Size,"$500,000 - $999,999",Median total revenue
Region,Midwest,Size,"$1 million - $9,999,999",Median total revenue
Region,Midwest,Size,$10 million and above,Median total revenue
Region,Midwest,Sector,"Arts, culture, and humanities",Median total revenue
Region,Midwest,Sector,Education,Median total revenue
Region,Midwest,Sector,Environment and animals,Median total revenue
Region,Midwest,Sector,Health,Median total revenue
Region,Midwest,Sector,Human services,Median total revenue
Region,Midwest,Sector,"International, foreign affairs",Median total revenue
Region,Midwest,Sector,"Public, societal benefit",Median total revenue
Region,Midwest,Rural/Urban,Rural,Median total revenue
Region,Midwest,Rural/Urban,Urban,Median total revenue
Region,Midwest,State,IL,Median total revenue
Region,Midwest,State,IN,Median total revenue
Region,Midwest,State,IA,Median total revenue
Region,Midwest,State,KS,Median total revenue
Region,Midwest,State,MI,Median total revenue
Region,Midwest,State,MN,Median total revenue
Region,Midwest,State,MO,Median total revenue
Region,Midwest,State,NE,Median total revenue
Region,Midwest,State,ND,Median total revenue
Region,Midwest,State,OH,Median total revenue
Region,Midwest,State,SD,Median total revenue
Region,Midwest,State,WI,Median total revenue
Region,South,"","",Median total revenue
Region,South,Size,"< $100,000",Median total revenue
Region,South,Size,"$100,000 - $499,999",Median total revenue
Region,South,Size,"$500,000 - $999,999",Median total revenue
Region,South,Size,"$1 million - $9,999,999",Median total revenue
Region,South,Size,$10 million and above,Median total revenue
Region,South,Sector,"Arts, culture, and humanities",Median total revenue
Region,South,Sector,Education,Median total revenue
Region,South,Sector,Environment and animals,Median total revenue
